"ID","Extent","Region","Locality","Realm","Ecosystem.specificity","Period","Planning.purpose","Policy.relevance","Method","Biodiversity.type","Number.of.features","Multiple.objectives.or.constraints","Connectivity","Costs","Stakeholder.involvement","Authors","Title","Year","Journal","DOI","Link","Author.Keywords","Index.Keywords","Document.Type","Source","cite_scientific_May2023","cite_policy_May2023"
143,"National","Portugal",NA,"Marine","all","Contemporary only","Priority places","Marine Strategy Framework, Maritime Spatial Planning European Directives, Portugese national planning directives","Marxan*","Multiple",25,"Costs","Boundary","yes","no","Fernandes M.L., Quintela A., Alves F.L.","Identifying conservation priority areas to inform maritime spatial planning: A new approach",2018,"Science of the Total Environment","10.1016/j.scitotenv.2018.05.147","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047402607&doi=10.1016%2fj.scitotenv.2018.05.147&partnerID=40&md5=dde04a494179e8fc37d9ab815b0549e7","Cumulative effects assessment; Decision support tools; Ecosystem based management approach; Marine protected areas; Marxan; Portugal","Conservation; Ecosystems; Cumulative effects assessments; Decision support tools; Ecosystem-based management; Marine protected area; Marxan; Portugal; Decision support systems; decision support system; ecosystem management; marine environment; nature conservation; planning process; protected area; spatial planning; Article; conceptual framework; decision making; decision support system; environmental impact; environmental planning; environmental protection; marine environment; Portugal; priority journal; software; article; decision support system; ecosystem; human impact (environment); Portugal; Portugal","Article","Scopus",17,2
144,"National","Germany",NA,"Terrestrial","all","Contemporary only","Priority places","EU Biodiversity Strategy, Habitats Directive","Marxan*","Ecosystems",85,"Constrains","Structural","yes","no","Friedrichs M., Hermoso V., Bremerich V., Langhans S.D.","Evaluation of habitat protection under the European Natura 2000 conservation network – The example for Germany",2018,"PLoS ONE","10.1371/journal.pone.0208264","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058775397&doi=10.1371%2fjournal.pone.0208264&partnerID=40&md5=e82d31e353a19863ddd3f9b0274fa84f",NA,"article; attention; climate change; Germany; habitat; human; manager; software; workflow; biodiversity; ecosystem; environmental protection; Europe; Germany; procedures; Biodiversity; Conservation of Natural Resources; Ecosystem; Europe; Germany; Software","Article","Scopus",9,0
145,"Local","Italy","Sardinia","Terrestrial","all","Contemporary only","Representation","EU Biodiversity Strategy, Habitats Directive","GIS overlay/ Ranking / Clustering","Ecosys. Services / NCP",1,"None","None","no","no","Lai S., Leone F., Zoppi C.","Implementing green infrastructures beyond protected areas",2018,"Sustainability (Switzerland)","10.3390/su10103544","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054223978&doi=10.3390%2fsu10103544&partnerID=40&md5=ee7f4cc8f0173d44a0e393953dd94cec","Ecosystem services; Environmental planning; Green infrastructure; Natura 2000 Network","accessibility; connectivity; conservation management; ecosystem service; environmental planning; environmental protection; functional role; greenspace; infrastructure; protected area; strategic approach; Italy; Sardinia","Article","Scopus",14,0
146,"Regional","Adriatic-Ionian Region",NA,"Marine","all","Contemporary only","Priority places","European Framework on Marine Spatial planning","Marxan*","Multiple",68,"Costs","None","yes","yes","Gissi E., McGowan J., Venier C., Carlo D.D., Musco F., Menegon S., Mackelworth P., Agardy T., Possingham H.","Addressing transboundary conservation challenges through marine spatial prioritization",2018,"Conservation Biology","10.1111/cobi.13134","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049934481&doi=10.1111%2fcobi.13134&partnerID=40&md5=640af1604dcb63a45d5be0e0417afead","Adriatic and Ionian region; compensaciones; conservation planning; equidad en la protección; industrias marinas; marine spatial planning; maritime industries; Marxan; MARXAN; planificación de la conservación; planificación especial marina; protection equality; Región Adriática y Jónica; trade-offs","biodiversity; conservation planning; environmental protection; European Union; marine environment; prioritization; spatial planning; sustainable development; trade-off; transboundary cooperation; Adriatic Sea; Ionian Sea; Mediterranean Sea; Nica; biodiversity; cost; environmental protection; prospective study; software; Biodiversity; Conservation of Natural Resources; Costs and Cost Analysis; Prospective Studies; Software","Article","Scopus",28,0
147,"Local","Spain","Catalonia","Terrestrial","Forest","Both","Priority places","EU Biodiversity Strategy, Birds Directive","Marxan*","Species",79,"None","Structural","no","no","Regos A., Hermoso V., D'Amen M., Guisan A., Brotons L.","Trade-offs and synergies between bird conservation and wildfire suppression in the face of global change",2018,"Journal of Applied Ecology","10.1111/1365-2664.13182","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052060109&doi=10.1111%2f1365-2664.13182&partnerID=40&md5=34b0d26fd6f1cbf37575a08f7ffb8bc2","climate warming; conservation planning; fire management; land abandonment; Natura 2000; process-based models; protected areas; SESAM","abandoned land; biodiversity; climate change; conservation management; conservation planning; environmental conditions; fire management; global change; global warming; land use change; prioritization; protected area; trade-off; Spain; Aves","Article","Scopus",12,0
148,"Europe","Europe",NA,"Terrestrial","All","Contemporary only","Management action","LIFE Program","Marxan*","Species",1348,"None","None","no","no","Hermoso V., Villero D., Clavero M., Brotons L.","Spatial prioritisation of EU's LIFE-Nature programme to strengthen the conservation impact of Natura 2000",2018,"Journal of Applied Ecology","10.1111/1365-2664.13116","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048359114&doi=10.1111%2f1365-2664.13116&partnerID=40&md5=31a588614a8301fe0135a2f60734fa8d","biodiversity strategy; birds directive; conservation; financial mechanisms; habitats directive; Marxan; prioritisation; top-down","biodiversity; bird; conservation planning; conservation status; endemism; environmental policy; European Union; prioritization; spatial planning; species richness; strategic approach; top-down approach; top-down control; Europe; Aves","Article","Scopus",9,0
149,"National","Cyprus",NA,"Terrestrial","all","Contemporary only","Representation","Habitats Directive","GIS overlay/ Ranking / Clustering","Species",252,"None","None","no","no","Christodoulou C.S., Griffiths G.H., Vogiatzakis I.N.","Using threatened plant species to identify conservation gaps and opportunities on the island of Cyprus",2018,"Biodiversity and Conservation","10.1007/s10531-018-1572-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048037401&doi=10.1007%2fs10531-018-1572-4&partnerID=40&md5=37f9671f828328e351311b508fa0938d","Gap analysis; Hotspots; Mediterranean islands; Natura 2000; Red Data Book species","biodiversity; conservation management; data set; endangered species; environmental legislation; European Union; GIS; government; identification method; island biogeography; nature conservation; new record; Red List; vascular plant; Cyprus; Tracheophyta","Article","Scopus",10,0
150,"Europe","Europe",NA,"Terrestrial","all","Contemporary only","Priority places","Eu Biodiversity Strategy","Marxan*","Ecosys. Services / NCP",13,"None","Boundary","no","no","Vallecillo S., Polce C., Barbosa A., Perpiña Castillo C., Vandecasteele I., Rusch G.M., Maes J.","Spatial alternatives for Green Infrastructure planning across the EU: An ecosystem service perspective",2018,"Landscape and Urban Planning","10.1016/j.landurbplan.2018.03.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043528716&doi=10.1016%2fj.landurbplan.2018.03.001&partnerID=40&md5=73e522454eead7cd2de8399e5a3a9b99","Beneficiaries; Ecosystem condition; Ecosystem restoration; Ecosystem service potential; Habitat conservation status; Multi-functionality","Biodiversity; Conservation; Cost effectiveness; Environmental protection; Investments; Restoration; Beneficiaries; Ecosystem restoration; Ecosystem services; Habitat conservation; Multifunctionality; Ecosystems; biodiversity; ecosystem service; environmental conditions; European Union; greenspace; introduced species; local planning; policy implementation; restoration ecology; spatial analysis; spatial planning; urban policy","Article","Scopus",49,10
151,"Local","France","Garonne-Dordogne river basin","Freshwater","Rivers","Contemporary only","Priority places","none","Marxan*","Other",1183,"None","None","no","no","Paz-Vinas I., Loot G., Hermoso V., Veyssière C., Poulet N., Grenouillet G., Blanchet S.","Systematic conservation planning for intraspecific genetic diversity",2018,"Proceedings of the Royal Society B: Biological Sciences","10.1098/rspb.2017.2746","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045976052&doi=10.1098%2frspb.2017.2746&partnerID=40&md5=dfbcaa1ae8407792884957dbace37223","Biodiversity conservation; Conservation genetics; Dendritic networks; Microsatellites; Multi-specific; Spatial biodiversity patterns","biodiversity; conservation genetics; conservation planning; cyprinid; freshwater ecosystem; genetic variation; intraspecific interaction; molecular analysis; spatial analysis; species richness; taxonomy; Dordogne Basin; France; Barbatula barbatula; Gobio; Leuciscus; Leuciscus cephalus; Phoxinus phoxinus; Toxostoma; animal; ecosystem; environmental protection; fish; France; genetic variation; genetics; procedures; Animals; Conservation of Natural Resources; Ecosystem; Fishes; France; Genetic Variation","Article","Scopus",44,0
152,"Regional","Spain, Portugal",NA,"Freshwater","Rivers","Contemporary only","Priority places","EU Biodiversity Strategy","Marxan*","Species",93,"None","Structural","no","no","Hermoso V., Filipe A.F., Segurado P., Beja P.","Freshwater conservation in a fragmented world: Dealing with barriers in a systematic planning framework",2018,"Aquatic Conservation: Marine and Freshwater Ecosystems","10.1002/aqc.2826","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030482485&doi=10.1002%2faqc.2826&partnerID=40&md5=57b4b44380bb9d356360ccafa54e35b3","amphibians; connectivity; dam; fish; Iberian Peninsula; Marxan; reptiles; river; systematic planning","biodiversity; connectivity; conservation planning; dam; decision support system; freshwater ecosystem; human activity; protected area; reptile; river; software; spatial distribution; Iberian Peninsula; Portugal; Spain; Amphibia; Anguilla anguilla; Reptilia; Vertebrata","Article","Scopus",37,0
153,"Local","Italy","Sardinia","Terrestrial","All","Contemporary only","Representation","Habitats Directive","GIS overlay/ Ranking / Clustering","Ecosys. Services / NCP",1,"None","Structural","no","no","Cannas I., Lai S., Leone F., Zoppi C.","Green infrastructure and ecological corridors: A regional study Concerning Sardinia",2018,"Sustainability (Switzerland)","10.3390/su10041265","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045692534&doi=10.3390%2fsu10041265&partnerID=40&md5=11c34513614f55d954ca38777ef3f44a","Ecological corridors; Ecosystem services; Regional green infrastructure","biodiversity; conservation management; discrete choice analysis; ecosystem service; greenspace; habitat corridor; habitat fragmentation; habitat selection; prioritization; spatial analysis; taxonomy; Italy; Sardinia","Article","Scopus",33,0
154,"National","Portugal",NA,"Marine","Coastal","Contemporary only","Priority places","None","Zonation","Species",32,"Costs","None","yes","no","Pereira J.M., Krüger L., Oliveira N., Meirinho A., Silva A., Ramos J.A., Paiva V.H.","Using a multi-model ensemble forecasting approach to identify key marine protected areas for seabirds in the Portuguese coast",2018,"Ocean and Coastal Management","10.1016/j.ocecoaman.2017.12.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038811599&doi=10.1016%2fj.ocecoaman.2017.12.014&partnerID=40&md5=4050fa46e4fb29a33cb4f718cc059dcd","Ensemble Ecological Niche Models; Environmental stressors; European seabirds at-sea census; Marine protected areas; Zonation software","Biodiversity; Coastal engineering; Coastal zones; Ecology; Environmental protection; Fisheries; Marine pollution; Pollution; Population distribution; Ships; Surveys; Waterway transportation; Ecological niche models; Environmental constraints; Environmental stressors; European seabirds at-sea census; Marine conservations; Marine protected area; National legislation; Occurrence and distribution; Conservation; biodiversity; ensemble forecasting; environmental stress; marine park; migratory species; niche partitioning; oil pollution; seabird; software; upwelling; Portugal; Aves","Article","Scopus",13,2
155,"National","Finland",NA,"Marine","Coast","Contemporary only","Multiple","Habitats Directive","Zonation","Multiple",166,"None","Structural","no","no","Virtanen E.A., Viitasalo M., Lappalainen J., Moilanen A.","Evaluation, gap analysis, and potential expansion of the Finnish Marine Protected Area network",2018,"Frontiers in Marine Science","10.3389/fmars.2018.00402","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056108981&doi=10.3389%2ffmars.2018.00402&partnerID=40&md5=063922539675973331086fb067f83177","Baltic Sea; Boosted regression trees; Conservation planning; Marine spatial planning; Spatial conservation prioritization; Species distribution modeling; Zonation software","NA","Article","Scopus",37,19
156,"Local","Italy","Siciliy","Terrestrial","All","Contemporary only","Representation","Aichi targets","GIS overlay/ Ranking / Clustering","Other",3,"None","None","no","no","Signorello G., Prato C., Marzo A., Ientile R., Cucuzza G., Sciandrello S., Martínez-López J., Balbi S., Villa F.","Are protected areas covering important biodiversity sites? An assessment of the nature protection network in Sicily (Italy)",2018,"Land Use Policy","10.1016/j.landusepol.2018.07.032","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050177814&doi=10.1016%2fj.landusepol.2018.07.032&partnerID=40&md5=54cabbd9ac0e88a5a1e46cc0bbb426f6","Biodiversity value; Conservation planning; GIS; Hot spots; Protected areas; Spatial analysis","biodiversity; conservation planning; environmental assessment; GIS; nature conservation; protected area; spatial analysis; Italy; Sicily","Article","Scopus",9,0
157,"Regional","Norway, Sweden, Finland",NA,"Terrestrial","none","Contemporary only","Management action","Birds Directive","Other","Species",1,"None","None","no","no","Johnson F.A., Alhainen M., Fox A.D., Madsen J., Guillemain M.","Making do with less: Must sparse data preclude informed harvest strategies for European waterbirds",2018,"Ecological Applications","10.1002/eap.1659","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042706764&doi=10.1002%2feap.1659&partnerID=40&md5=e24eef70a040613804f42dece1546f85","adaptive management; demography; geese; harvest; hunting; Markov decision process; stochastic dynamic programming; Taiga Bean Geese; waterbirds","adaptive management; data assimilation; demography; environmental assessment; environmental monitoring; hunting; intergovernmental relations; linear programing; Markov chain; population modeling; population size; stochasticity; trade-off; waterfowl; Fennoscandia; Anser; Anser fabalis; Aves; animal; biological model; Europe; goose; Markov chain; population dynamics; Animals; Europe; Geese; Markov Chains; Models, Biological; Population Dynamics","Article","Scopus",22,0
158,"Local","Germany","South-west","Terrestrial","Forest","Both","Priority places","case study","Integer programming","Ecosys. Services / NCP",1,"Multi-objective/criteria","Structural","yes","no","Augustynczik A.L.D., Yousefpour R., Rodriguez L.C.E., Hanewinkel M.","Conservation Costs of Retention Forestry and Optimal Habitat Network Selection in Southwestern Germany",2018,"Ecological Economics","10.1016/j.ecolecon.2018.02.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042683137&doi=10.1016%2fj.ecolecon.2018.02.013&partnerID=40&md5=d669e08b3a7ab28db30bf00ed833bd0f","Conservation planning; Forest reserves; Habitat connectivity; Minimum area; Opportunity costs; Retention forestry","biodiversity; conservation planning; cost analysis; economic conditions; forest ecosystem; forest management; forestry practice; habitat selection; montane forest; Germany; Nucleopolyhedrovirus","Article","Scopus",12,0
159,"National","Finland",NA,"Terrestrial",NA,"Contemporary only","Representation","case study","Zonation","Species",248,"None","None","no","no","Kujala H., Moilanen A., Gordon A.","Spatial characteristics of species distributions as drivers in conservation prioritization",2018,"Methods in Ecology and Evolution","10.1111/2041-210X.12939","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045043326&doi=10.1111%2f2041-210X.12939&partnerID=40&md5=6b733894c3a1185fbf46512adbd2a3b8","conservation trade-offs; spatial conservation prioritization; spatial prioritization; species characteristics; species distribution; systematic conservation planning; uncertainty; Zonation","NA","Article","Scopus",32,2
160,"Regional","Spain, Portugal",NA,"Terrestrial",NA,"Both","Representation","case study","Integer programming","Species",10,"Constrains","Functional","yes","no","Alagador, D., & Cerdeira, J. O.","A quantitative analysis on the effects of critical factors limiting the effectiveness of species conservation in future-time",2018,"Ecology and Evolution","10.1002/ece3.3788","https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.3788","climate change, conservation planning, cost effectiveness, optimization, resource allocation, species distribution",NA,"Article","Manual",5,0
161,"Local","Portugal","Alentejo","Terrestrial","AgroSystems","Contemporary only","Management action","case study","Other","Other",3,"Constrains","Functional","yes","no","Herrera, J. M., Alagador, D., Salgueiro, P., & Mira, A.","A distribution-oriented approach to support landscape connectivity for ecologically distinct bird species",2018,"Plos One","10.1371/journal.pone.0194848",NA,NA,NA,"Article","Manual",9,0
162,"Europe","Europe",NA,"Terrestrial","All","Both","Priority places","None","Zonation","Ecosys. Services / NCP",5,"None","None","no","no","Verhagen, W., van Teeffelen, A. J., & Verburg, P. H.","Shifting spatial priorities for ecosystem services in Europe following land use change",2018,"Ecological Indicators","10.1016/j.ecolind.2018.01.019",NA,NA,NA,"Article","Manual",19,0
163,"Local","Portugal","Lisbon","Terrestrial","Urban","Contemporary only","Multiple","Case study","Integer programming","Multiple",NA,"Multiple","None","yes","yes","Elliot T., Bertrand A., Babí Almenar J., Petucco C., Proença V., Rugani B.","Spatial optimisation of urban ecosystem services through integrated participatory and multi-objective integer linear programming",2019,"Ecological Modelling","10.1016/j.ecolmodel.2019.108774","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069957478&doi=10.1016%2fj.ecolmodel.2019.108774&partnerID=40&md5=46967bb49aecfdf473badc69857f0a9a","Biodiversity; Ecosystem services; Participatory modelling; Spatial optimisation","Biodiversity; Housing; Integer programming; Land use; Urban planning; Ecosystem services; Integer Linear Programming; Integrated modeling; Mathematical optimisation; Optimisation constraints; Optimisations; Participatory modelling; Scientific contributions; Ecosystems; biodiversity; ecosystem service; integrated approach; land cover; linear programing; optimization; participatory approach; stakeholder; urban ecosystem; urban planning; urbanization; Lisboa [Portugal]; Lisbon; Portugal","Article","Scopus",24,0
164,"Local","Spain","Biscay","Terrestrial","all","Contemporary only","Representation","Case study","GIS overlay/ Ranking / Clustering","Ecosys. Services / NCP",9,"None","None","yes","no","Castillo-Eguskitza N., Schmitz M.F., Onaindia M., Rescia A.J.","Linking biophysical and economic assessments of ecosystem services for a social-ecological approach to conservation planning: Application in a biosphere reserve (Biscay, Spain)",2019,"Sustainability (Switzerland)","10.3390/su11113092","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067278213&doi=10.3390%2fsu11113092&partnerID=40&md5=d66805f8f9949f26fe90c35e545cab51","Ecosystem services valuation; Land use changes; Protected area management; Social-ecological systems; Spatial coincidence of biophysical-economic assessments","biophysics; conservation management; economic analysis; ecosystem service; land use change; protected area; spatial planning; sustainable development; valuation; Basque Country [Spain]; Bizkaia; Spain; Urdaibai Biosphere Reserve","Article","Scopus",9,0
165,"Local","Italy","Cagliari","Terrestrial","all","Contemporary only","Representation","Case study","GIS overlay/ Ranking / Clustering","Multiple",4,"None","None","no","no","Lai S., Leone F., Zoppi C.","Assessment of municipal masterplans aimed at identifying and fostering green infrastructure: A study concerning three towns of the metropolitan area of Cagliari, Italy",2019,"Sustainability (Switzerland)","10.3390/su11051470","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062907011&doi=10.3390%2fsu11051470&partnerID=40&md5=4e05218fb50c2e5085030a0e157ce4e7","Ecosystem services; Environmental planning; Green infrastructure; Natura 2000 Network","accessibility; assessment method; conservation management; ecosystem service; environmental planning; identification method; infrastructure; metropolitan area; nature conservation; planning process; recreational activity; regional planning; regional policy; rural area; Cagliari; Italy; Sardinia","Article","Scopus",13,0
166,"Regional","Germany, Austria, Slovakia, Hungary, Croatia,Serbia, Romania, Bulgaria","Danube","Freshwater","all","Contemporary only","Priority places","EU Flood Risk Directive, EU Biodiversity Strategy to 2020, EU Water Framework Directive","GIS overlay/ Ranking / Clustering","Multiple",16,"Multi-objective/criteria","None","no","no","Funk A., Martínez-López J., Borgwardt F., Trauner D., Bagstad K.J., Balbi S., Magrach A., Villa F., Hein T.","Identification of conservation and restoration priority areas in the Danube River based on the multi-functionality of river-floodplain systems",2019,"Science of the Total Environment","10.1016/j.scitotenv.2018.10.322","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056584763&doi=10.1016%2fj.scitotenv.2018.10.322&partnerID=40&md5=1d1565d6bbda266535ab03ac656596de","ARIES; Bayesian Network; Ecosystem-based management; Hydro-morphological alteration; Natura 2000","Banks (bodies of water); Bayesian networks; Biodiversity; Flood control; Floods; Laws and legislation; Restoration; Rivers; ARIES; Ecosystem-based management; Environmental problems; Morphological alteration; Natura 2000; Quantitative approach; River-floodplain system; Socio-economic conditions; Ecosystems; Bayesian analysis; biodiversity; conservation management; ecosystem management; ecosystem service; floodplain; protected area; restoration ecology; river system; article; biodiversity; Europe; floodplain; habitat; human; hydropower; law; pollination; quantitative analysis; recreation; river; strategic planning; Danube River","Article","Scopus",48,3
167,"Regional","Switzerland, Austria, Germany, Italy","Alpes","Terrestrial","none","Contemporary only","Priority places","none","Integer programming","Species",9,"Costs","Boundary","yes","no","Hanson J.O., Fuller R.A., Rhodes J.R.","Conventional methods for enhancing connectivity in conservation planning do not always maintain gene flow",2019,"Journal of Applied Ecology","10.1111/1365-2664.13315","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059835425&doi=10.1111%2f1365-2664.13315&partnerID=40&md5=16c49cab0c50b34c4be6a9fc0aa5d659","alpine plants; connectivity; gene flow; integer programming; landscape genetics; optimization; spatial prioritization; systematic conservation planning","action plan; alpine environment; connectivity; conservation genetics; conservation management; conservation planning; gene flow; genetic analysis; habitat fragmentation; landscape ecology; linear programing; methodology; optimization; prioritization; protected area; spatial planning; species conservation","Article","Scopus",11,0
168,"Europe","Europe",NA,"Terrestrial","all","Contemporary only","Representation","Habitats Directive, Birds Directive","Zonation","Species",395,"None","None","no","no","Kukkala A., Maiorano L., Thuiller W., Arponen A.","Identifying national responsibility species based on spatial conservation prioritization",2019,"Biological Conservation","10.1016/j.biocon.2019.05.046","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067058778&doi=10.1016%2fj.biocon.2019.05.046&partnerID=40&md5=040dae2bffb03922ee686b5172b602f4",NA,"conservation status; decision making; European Union; national planning; prioritization; resource allocation; species conservation; Aves; Vertebrata","Article","Scopus",5,0
169,"National","Italy",NA,"Terrestrial","all","Contemporary only","Multiple","none","Marxan*","Species",995,"None","None","no","no","Carta A., Gargano D., Rossi G., Bacchetta G., Fenu G., Montagnani C., Abeli T., Peruzzi L., Orsenigo S.","Phylogenetically informed spatial planning as a tool to prioritise areas for threatened plant conservation within a Mediterranean biodiversity hotspot",2019,"Science of the Total Environment","10.1016/j.scitotenv.2019.02.127","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061675260&doi=10.1016%2fj.scitotenv.2019.02.127&partnerID=40&md5=fe9bad0339489ca75810bcebe64cfb39","Endemism; Evolutionary distinctiveness; Mediterranean; Phylogenetic diversity; Protected areas; Threatened species","Biodiversity; Cost effectiveness; Environmental protection; Endemism; Evolutionary distinctiveness; Mediterranean; Phylogenetic diversity; Protected areas; Threatened species; Conservation; biodiversity; endemism; phylogenetics; protected area; spatial data; spatial planning; species conservation; vascular plant; article; attention; biodiversity; endangered species; flora; Italy; nonhuman; vascular plant; cost benefit analysis; economics; Embryophyta; endangered species; environmental protection; organization and management; phylogeny; procedures; Southern Europe; spatial analysis; vascular plant; Italy; Mediterranean Sea; Tracheophyta; Biodiversity; Conservation of Natural Resources; Cost-Benefit Analysis; Embryophyta; Endangered Species; Italy; Mediterranean Region; Phylogeny; Planning Techniques; Spatial Analysis; Tracheophyta","Article","Scopus",13,0
170,"Regional","Danube catchment",NA,"Freshwater","Rivers and lakes","Contemporary only","Priority places","EU Biodiversity Strategy, Strategy of Green Infrastructure","Marxan*","Multiple",89,"Multi-objective/criteria","Structural","yes","yes","Domisch S., Kakouei K., Martínez-López J., Bagstad K.J., Magrach A., Balbi S., Villa F., Funk A., Hein T., Borgwardt F., Hermoso V., Jähnig S.C., Langhans S.D.","Social equity shapes zone-selection: Balancing aquatic biodiversity conservation and ecosystem services delivery in the transboundaryDanube River Basin",2019,"Science of the Total Environment","10.1016/j.scitotenv.2018.11.348","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057604488&doi=10.1016%2fj.scitotenv.2018.11.348&partnerID=40&md5=9abe60cbb4fd33f9048f7bef2dac04bf","ARIES; Ecosystem services; Ecosystem-based management; Marxan with Zones; Model coupling; Species distribution model","Bayesian networks; Biodiversity; Conservation; Cost benefit analysis; Economic and social effects; Economics; Population distribution; Rivers; Water; Watersheds; ARIES; Ecosystem services; Ecosystem-based management; Model coupling; Species distribution modeling; Aquatic ecosystems; river water; aquatic environment; artificial intelligence; Bayesian analysis; biodiversity; ecosystem management; ecosystem service; spatiotemporal analysis; transboundary pollution; Article; artificial intelligence; Bayes theorem; carbon storage; case study; conceptual framework; conservation biology; cost effectiveness analysis; environmental management; Europe; fish; flooding; freshwater environment; gross national product; model; nonhuman; priority journal; river basin; species distribution; aquatic species; biodiversity; ecosystem; environmental protection; procedures; social capital; social environment; Danube River; Aquatic Organisms; Bayes Theorem; Biodiversity; Conservation of Natural Resources; Ecosystem; Europe; Social Capital; Social Environment","Article","Scopus",20,0
171,"Regional","Spain","Gibraltar","Cross-realm","all","Contemporary only","Priority places","Strategy of Green Infrastructure","Marxan*","Multiple",88,"Multi-objective/criteria","Structural","yes","yes","Barbosa A., Martín B., Hermoso V., Arévalo-Torres J., Barbière J., Martínez-López J., Domisch S., Langhans S.D., Balbi S., Villa F., Delacámara G., Teixeira H., Nogueira A.J.A., Lillebø A.I., Gil-Jiménez Y., McDonald H., Iglesias-Campos A.","Cost-effective restoration and conservation planning in Green and Blue Infrastructure designs. A case study on the Intercontinental Biosphere Reserve of the Mediterranean: Andalusia (Spain) – Morocco",2019,"Science of the Total Environment","10.1016/j.scitotenv.2018.10.416","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056176079&doi=10.1016%2fj.scitotenv.2018.10.416&partnerID=40&md5=fa3774136759c9b1cc4ac51527a5a180","Biodiversity; Ecosystem condition; Ecosystem services; Marxan with Zones; Multi-zoning; Spatial prioritization","Biodiversity; Biospherics; Conservation; Cost effectiveness; Costs; Restoration; Aquatic environments; Conservation management; Conservation planning; Conservation targets; Ecosystem services; Infrastructure design; Probability of conflicts; Spatial prioritization; Aquatic ecosystems; biodiversity; biosphere; conservation management; conservation planning; ecosystem service; nature conservation; restoration ecology; spatial variation; aquatic environment; Article; biosphere; conservation biology; controlled study; cost effectiveness analysis; ecosystem restoration; environmental management; environmental planning; environmental protection; Morocco; priority journal; process optimization; Spain; spatial analysis; species habitat; Andalucia; Spain","Article","Scopus",30,4
172,"Local","Spain","Catalonia","Terrestrial","all","Contemporary only","Priority places","Strategy of Green Infrastructure","Marxan*","Multiple",NA,"Multi-objective/criteria","Structural","yes","no","Lanzas M., Hermoso V., de-Miguel S., Bota G., Brotons L.","Designing a network of green infrastructure to enhance the conservation value of protected areas and maintain ecosystem services",2019,"Science of the Total Environment","10.1016/j.scitotenv.2018.09.164","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053778994&doi=10.1016%2fj.scitotenv.2018.09.164&partnerID=40&md5=2cccd5129647a0982310b8053ce40d4f","Co-benefits; Connectivity; Marxan with zones; Multi-functionality; Systematic conservation planning; Trade-offs","Biodiversity; Commerce; Conservation; Economic and social effects; Ecosystems; Environmental protection; Sensitivity analysis; Co benefits; Connectivity; Multifunctionality; Systematic conservation planning; Trade off; Decision making; connectivity; conservation planning; ecosystem service; European Union; nature conservation; policy development; protected area; software; trade-off; article; biodiversity; Catalonia; decision making; ecosystem; sensitivity analysis; software; biodiversity; environmental protection; procedures; Spain; Biodiversity; Conservation of Natural Resources; Ecosystem; Spain","Article","Scopus",60,2
173,"Local","Finland","Southwest","Terrestrial","Cropland, Grassland","Contemporary only","Priority places","Common Agricultural Policy (CAP)","Zonation","Ecosystems",53,"Multi-objective/criteria","Structural","no","no","Harlio A., Kuussaari M., Heikkinen R.K., Arponen A.","Incorporating landscape heterogeneity into multi-objective spatial planning improves biodiversity conservation of semi-natural grasslands",2019,"Journal for Nature Conservation","10.1016/j.jnc.2019.01.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062398344&doi=10.1016%2fj.jnc.2019.01.003&partnerID=40&md5=deb72f2f17470e935ade37f03192b77c","Agri-environment scheme; Connectivity; Field margin; Landscape heterogeneity; Spatial prioritization; Trade-off","agri-environmental policy; agricultural policy; biodiversity; European Union; heterogeneity; landscape planning; spatial planning; spatial variation; trade-off; Finland","Article","Scopus",39,3
